Name,Synonyme,YahooTicker
SEGRO Real Estate,"SEGRO, SEGRO Real Estate, SRE",S4VC.F
PRYSMIAN Industrial Goods & Services,"PIG&S, PRYSMIAN, PRYSMIAN Industrial Goods & Services",PRY.MI
HOWDEN JOINERY GRP Industrial Goods & Services,"HJIG&S, HOWDEN, HOWDEN JOINERY  Industrial Goods & Services, HOWDEN JOINERY GRP Industrial Goods & Services",10J.F
GETINGE B Health Care,"GBHC, GETINGE, GETINGE B Health Care",GNGBY
OSRAM LICHT Personal & Household Goods,"OLP&HG, OSRAM, OSRAM LICHT Personal & Household Goods",AMS.SW
BOLIDEN Basic Resources,"BBR, BOLIDEN, BOLIDEN Basic Resources",BOL.ST
EASYJET Travel & Leisure,"EASYJET, EASYJET Travel & Leisure, ET&L",EZJ.L
LANXESS Chemicals,"LANXESS, LANXESS Chemicals, LC",LXS.DE
NESTE Oil & Gas,"NESTE, NESTE Oil & Gas, NO&G",NESTE.HE
GRP 4 SECURICOR Industrial Goods & Services,"4 SECURICOR Industrial Goods & Services, 4SIG&S, GRP 4 SECURICOR Industrial Goods & Services",GRPN
ZODIAC AEROSPACE Industrial Goods & Services,"ZAIG&S, ZODIAC, ZODIAC AEROSPACE Industrial Goods & Services",0P0000X8OD.F
BELLWAY Personal & Household Goods,"BELLWAY, BELLWAY Personal & Household Goods, BP&HG",41B.BE
INCHCAPE Retail,"INCHCAPE, INCHCAPE Retail, IR",IJCA.F
BANKIA Banks,"BANKIA, BANKIA Banks, BB",0P0001871W.F
HENDERSON GRP Financial Services,"HENDERSON, HENDERSON  Financial Services, HENDERSON GRP Financial Services, HFS",JFRDX
WIRECARD Industrial Goods & Services,"WIG&S, WIRECARD, WIRECARD Industrial Goods & Services",WDI.HM
REXEL Industrial Goods & Services,"REXEL, REXEL Industrial Goods & Services, RIG&S",RXL.PA
HUGO BOSS Personal & Household Goods,"HBP&HG, HUGO, HUGO BOSS Personal & Household Goods",HGTXU
OMV Oil & Gas,"OMV, OMV Oil & Gas, OO&G",OMV.VI
ADP Industrial Goods & Services,"ADP, ADP Industrial Goods & Services, AIG&S",ADP
INVESTEC Financial Services,"IFS, INVESTEC, INVESTEC Financial Services",0P0000X63C
ALSTOM Industrial Goods & Services,"AIG&S, ALSTOM, ALSTOM Industrial Goods & Services",AOMU.F
TNT EXPRESS Industrial Goods & Services,"TEIG&S, TNT, TNT EXPRESS Industrial Goods & Services",TNTC.F
COCA-COLA HBC Food & Beverage,"CHF&B, COCA-COLA, COCA-COLA HBC Food & Beverage",KO
Intu Properties PLC Real Estate,"IPRE, Intu, Intu Properties  Real Estate, Intu Properties PLC Real Estate",INTU
HISCOX Insurance,"HI, HISCOX, HISCOX Insurance",H2X3.MU
BIC Personal & Household Goods,"BIC, BIC Personal & Household Goods, BP&HG",BICO.ST
ABERDEEN ASSET MANAGEMENT Financial Services,"AAMFS, ABERDEEN, ABERDEEN ASSET MANAGEMENT Financial Services",ABDN.L
IG GRP HLDG Financial Services,"IFS, IG   Financial Services, IG GRP HLDG Financial Services",IG
IMI Industrial Goods & Services,"IIG&S, IMI, IMI Industrial Goods & Services",EUNN.DE
AUTO TRADER GROUP Media,"ATM, AUTO, AUTO TRADER  Media, AUTO TRADER GROUP Media",MULN
EDENRED Industrial Goods & Services,"EDENRED, EDENRED Industrial Goods & Services, EIG&S",QSV.F
LUNDIN PETROLEUM Oil & Gas,"LPO&G, LUNDIN, LUNDIN PETROLEUM Oil & Gas",LUN.TO
BOOKER GRP Retail,"BOOKER, BOOKER  Retail, BOOKER GRP Retail, BR",PBMLF
GREENE KING Travel & Leisure,"GKT&L, GREENE, GREENE KING Travel & Leisure",GCBC
UBI BCA Banks,"UBB, UBI, UBI BCA Banks",UI
ANDRITZ Industrial Goods & Services,"AIG&S, ANDRITZ, ANDRITZ Industrial Goods & Services",AZ2.HA
MERLIN PROPERTIES SOCIMI Real Estate,"MERLIN, MERLIN PROPERTIES SOCIMI Real Estate, MPSRE",0P00000DY5.L
GLANBIA Food & Beverage,"GF&B, GLANBIA, GLANBIA Food & Beverage",GLAPY
FREENET Telecommunications,"FREENET, FREENET Telecommunications, FT",FRTAF
UBM Media,"UBM, UBM Media, UM",2U2.BE
TDC Telecommunications,"TDC, TDC Telecommunications, TT",TDC
STMICROELECTRONICS Technology,"ST, STMICROELECTRONICS, STMICROELECTRONICS Technology",STM
JERONIMO MARTINS Retail,"JERONIMO, JERONIMO MARTINS Retail, JMR",JEM0.F
LUFTHANSA Travel & Leisure,"LT&L, LUFTHANSA, LUFTHANSA Travel & Leisure",LHA.F
TATE & LYLE Food & Beverage,"T&LF&B, TATE, TATE & LYLE Food & Beverage",TATYY
PSP SWISS PROPERTY Real Estate,"PSP, PSP SWISS PROPERTY Real Estate, PSPRE",PSP
KINGSPAN GRP Construction & Materials,"KC&M, KINGSPAN, KINGSPAN  Construction & Materials, KINGSPAN GRP Construction & Materials",KRX.IR
ICAP Financial Services,"ICAP, ICAP Financial Services, IFS",ICAP
HIKMA PHARMACEUTICALS Health Care,"HIKMA, HIKMA PHARMACEUTICALS Health Care, HPHC",HIK.L
VOESTALPINE Basic Resources,"VBR, VOESTALPINE, VOESTALPINE Basic Resources",VOE.PR
MAN Industrial Goods & Services,"MAN, MAN Industrial Goods & Services, MIG&S",MAN
SPIRAX-SARCO Industrial Goods & Services,"SIG&S, SPIRAX-SARCO, SPIRAX-SARCO Industrial Goods & Services",1LNB.HA
MAN GRP Financial Services,"MAN, MAN  Financial Services, MAN GRP Financial Services, MFS",MAN
ZALANDO Retail,"ZALANDO, ZALANDO Retail, ZR",AT0000A35VB5.VI
