Name,Synonyme,YahooTicker
Renk Group,RENK,RENK.DE
Rheinmetall,RHM,RHM.DE
Hims & Hers,HIMS,HIMS
Boeing,BA,BA
Allianz,ALV,ALV.DE
Münchener Rück,MUV2,MUV2.DE
Thales,HO,HO.PA
Hensoldt,HAG,HAG.DE
Porsche,P911,P911.DE
Mercedes,MBG,MBG.DE
HelloFresh,HFG,HFG.DE
Rolls Royce,RR,RR.L
Heidelberger Druck,HDD,HDD.DE
BYD,BYD,1211.HK
E.ON,EOAN,EOAN.DE
Deutsche Bank,DBK,DBK.DE
Deutsche Börse,DB1,DB1.DE
Novo Nordisk,NVO,NVO
Google,GOOG,GOOG
Alphabet,GOOGL,GOOGL
